"","Datatreatment","Y_rec","sd","type","year","DDpre","DDegg","DDlarv","DDpjuv","DDben","Tcop","Tpart","MLDpart","MLDlarv","MLDpjuv","CSTlarv","CSTpjuv","LSTlarv","LSTpjuv","hci1_larv","hci1_pjuv","hci2_larv","hci2_pjuv","oni_pre","oni_larv","oni_pjuv","pdo_larv","pdo_pjuv","lusi_annual","CutiSTIpjuv","CutiTUMIpjuv","BeutiTUMIpjuv","BeutiSTIpjuv"
"176","2025 Final",-0.0175,0.23,"Main",1997,31841.63339,30660.95843,27106.38655,44850.35308,47657.21548,10.52898956,9.712904754,13.42029653,10.98845313,10.72521659,0.021049014,0.008812069,-0.074879495,-0.091839618,0.525056948,0.066287016,0.525056948,0.066287016,-0.36,-0.23,1.15,0.715,1.958,107,100.3333333,27.23766667,518.5025,88
"177","2025 Final",0.507,0.166,"Main",1998,43451.92052,44863.69919,38130.19412,46251.66013,38747.58029,12.68796551,11.76038784,22.63926084,16.41481818,11.01609444,0.009711041,0.006085281,0.017776259,-0.096520525,0,0.113895216,0,0.113895216,2.041111111,1.685,-0.118,2.11,0.166,192,71.33333333,57.71966667,579.05225,71.33333333
"178","2025 Final",0.205,0.218,"Main",1999,34024.80375,35994.388,24875.58679,37003.4123,36317.41077,11.21158464,9.233724478,16.80005762,14.76607736,11.23271603,0.019676505,0.012303826,0.010755834,-0.134425438,0.999430524,0.683143508,0.999430524,0.683143508,-1.281111111,-1.185,-1.05,-0.435,-1.31,206,87,65.25933333,756.74725,87
"179","2025 Final",0.705,0.142,"Main",2000,32816.48005,34215.4497,28768.53345,39821.40216,34925.68788,10.55032555,9.888925048,13.4319323,11.78732755,10.7289702,0.014609526,0.013876684,-0.024516296,-0.122195307,0.589977221,0.421867882,0.589977221,0.421867882,-1.32,-1.24,-0.644,-0.365,-0.564,152,56.33333333,56.05833333,632.0835,56.33333333
"180","2025 Final",-0.048,0.219,"Main",2001,31585.98041,30290.38232,26365.79671,37581.25603,35688.04598,10.56999026,9.586748489,14.0270745,11.33657886,11.03627692,0.010641708,0.008763787,-0.048188988,-0.117685571,0.696469248,0.668109339,0.696469248,0.668109339,-0.596666667,-0.48,-0.184,0.445,-0.794,175,39.33333333,75.13866667,837.096,39.33333333
"181","2025 Final",-0.628,0.273,"Main",2002,31191.51899,32605.34085,23877.86567,35593.51866,35875.90305,10.47775117,9.227410966,13.71208879,10.97567319,11.01462564,0.014069287,0.009691728,-0.056580856,-0.134760995,0.936788155,0.661275626,0.936788155,0.661275626,-0.153333333,0.06,0.586,-0.425,-0.326,198,48.33333333,82.12966667,908.08925,58.66666667
"182","2025 Final",-0.298,0.22,"Main",2003,33119.15211,36032.29264,31781.37083,40685.88005,36961.93276,9.636632551,10.74274983,14.49500417,11.95909003,10.89086519,0.017686345,0.005641232,-0.050238976,-0.109416169,0.065489749,0.28952164,0.065489749,0.28952164,0.916666667,0.505,-0.034,1.715,0.638,154,103.3333333,67.49933333,618.488,103.3333333
"183","2025 Final",0.0824,0.167,"Main",2004,33193.7002,33469.34008,28256.60775,41533.00082,37092.50756,10.72786966,10.0024552,14.91791358,11.55575493,10.66624677,0.020316137,0.009037274,-0.060297617,-0.113780496,0.357630979,0.070615034,0.357630979,0.070615034,0.272222222,0.27,0.346,0.415,0.294,179,59.33333333,72.55033333,622.50375,63
"184","2025 Final",-0.627,0.277,"Main",2005,34373.12429,31274.63896,31932.62146,45000.06575,36357.12114,11.20249846,10.50944406,13.70092158,11.10947922,11.41125748,0.008881793,0.00842437,-0.016785936,-0.102039998,0.219248292,0.194077449,0.219248292,0.194077449,0.611111111,0.515,0.126,0.755,0.65,130,129,68.20766667,609.972,89.66666667
"185","2025 Final",0.431,0.128,"Main",2006,33800.05891,34084.84676,27933.5669,40194.30199,35594.29644,10.51602317,10.24741893,16.17918397,12.69329792,11.11292679,0.014047616,0.003996169,-0.024230103,-0.096997534,0.523348519,0.407061503,0.523348519,0.407061503,-0.466666667,-0.67,-0.028,0.43,0.344,196,91,101.3853333,767.96325,96.66666667
"186","2025 Final",-0.385,0.243,"Main",2007,31426.78597,32604.42365,26075.94044,39124.47808,33519.42378,10.27511161,9.442391736,13.97787628,11.57351906,10.84739943,0.019258945,0.011330441,-0.035770606,-0.124299459,0.809225513,0.476537585,0.809225513,0.476537585,0.483333333,0.05,-0.508,-0.185,0.468,155,99.33333333,50.8,692.04975,99.33333333
"187","2025 Final",0.792,0.105,"Main",2008,29785.70072,29493.44817,22669.65847,33942.07122,34894.14644,10.4418495,8.622015649,13.77874066,11.55268775,11.04465455,0.024241608,0.006291336,-0.078279221,-0.112683188,1,0.843507973,1,0.843507973,-1.258888889,-1.405,-0.612,-0.82,-1.17,180,41.33333333,67.43733333,987.68,41.33333333
"188","2025 Final",-0.635,0.261,"Main",2009,29920.27246,31043.54918,23992.17348,36088.97366,37006.04828,10.45179994,8.885978974,12.79622109,11.71460966,10.95815823,0.01682921,0.009705049,-0.025799337,-0.106311274,1,0.634851936,1,0.634851936,-0.524444444,-0.7,0.198,-1.365,-0.542,202,30,56.23233333,845.0955,30
"189","2025 Final",0.325,0.135,"Main",2010,33602.90691,32798.49262,32298.94068,38629.06857,36684.45227,10.78022181,10.45402446,16.2051497,12.958354,11.52223388,0.015581853,0.011625818,-0.003980801,-0.125645318,0.170842825,0.795216401,0.170842825,0.795216401,1.025555556,1.03,-0.576,0.84,-0.292,104,92.33333333,46.83833333,724.11275,92.33333333
"190","2025 Final",-0.179,0.2,"Main",2011,31515.81787,34225.66015,24896.34764,36888.59289,35536.59321,10.41633152,9.372672812,14.61347035,12.3217849,11.00847842,0.019975542,0.010299152,-0.019681588,-0.124974182,0.836560364,0.583826879,0.836560364,0.583826879,-1.374444444,-1.06,-0.564,-0.845,-1.134,142,87.33333333,44.96633333,754.90525,87.33333333
"191","2025 Final",0.00461,0.187,"Main",2012,30198.36878,29778.91212,22444.94271,37789.06004,36486.63102,10.78777525,8.946484264,13.63555824,11.65403272,10.99215836,0.012809738,0.00724145,-0.016805924,-0.104079785,1,0.593394077,1,0.593394077,-0.804444444,-0.655,-0.024,-0.945,-1.176,162,114.6666667,52.95233333,751.1175,114.6666667
"192","2025 Final",0.0882,0.193,"Main",2013,31546.93697,37471.73207,23382.56906,37210.43279,36154.59469,10.1308136,9.143897686,13.23447565,11.17337895,10.95500303,0.019853448,0.008056778,-0.083589085,-0.099125108,0.930523918,0.387015945,0.930523918,0.387015945,-0.011111111,-0.385,-0.358,-0.77,-0.71,162,36.33333333,60.65033333,735.0215,36.33333333
"193","2025 Final",0.211,0.185,"Main",2014,31463.51486,27352.85525,26796.62364,40167.34547,45694.99263,11.3109031,9.505721099,11.98117069,11.09606028,10.83679139,0.014852685,-0.001511887,-0.00463733,-0.089673124,0.63952164,0.159908884,0.63952164,0.159908884,-0.305555556,-0.365,0.106,0.225,0.59,134,108,58.71633333,639.656,96.66666667
"194","2025 Final",-0.334,0.26,"Main",2015,40370.60122,45986.13658,36565.02522,42309.3008,43221.8737,11.63809594,11.39814021,13.36496806,11.57096307,10.86910511,0.016043923,0.000828322,-0.046509336,-0.101282424,0,0.193621868,0,0.193621868,0.41,0.5,1.238,1.695,1.172,176,99.66666667,65.76666667,786.99575,82.33333333
"195","2025 Final",0.0287,0.217,"Main",2016,39675.01334,40822.54343,35955.26358,43106.40947,42503.45277,11.86487785,11.29194522,16.08180275,13.21548652,10.79098643,0.012395165,0.003983902,-0.006535825,-0.121173815,0.001138952,0.149886105,0.001138952,0.149886105,2.152222222,1.86,0.072,2.13,1.226,161,81.33333333,63.358,740.44225,81.33333333
"196","2025 Final",-0.374,0.273,"Main",2017,37167.38642,43988.73342,30427.86215,42975.94457,39535.64007,11.12252463,10.34694568,15.07608974,12.1556456,11.52968671,0.01225607,0.012644896,0.001231937,-0.121873626,0.355353075,0.2523918,0.355353075,0.2523918,-0.433333333,-0.055,0.168,0.745,0.5,167,115.6666667,61.60833333,759.72275,115.6666667
"197","2025 Final",-0.485,0.305,"Main",2018,34916.98752,36333.22459,28075.98246,41540.55749,38975.46699,11.09268778,10.12871959,13.9417195,11.38335346,11.02224167,0.015444097,0.011698479,-0.074296463,-0.123552606,0.407175399,0.210022779,0.407175399,0.210022779,-0.586666667,-0.775,-0.082,-0.065,-0.132,188,82.33333333,59.944,759.8565,84.66666667
"198","2025 Final",0.00381,0.305,"Late",2019,35490.30609,35936.92818,29921.02261,44875.97556,39158.0446,11.10630283,10.53948284,14.73466975,12.12344013,10.70405491,-0.000485013,-0.007130805,-0.004604359,-0.060551539,0.338838269,0.224601367,0.338838269,0.224601367,0.606666667,0.715,0.414,0.105,0.49,143,78.66666667,63.425,807.344,78.66666667
"199","2025 Final",-0.203,0.419,"Late",2020,35511.38781,32409.50954,26988.10644,42036.29268,38195.77443,11.90677116,9.807267127,12.95033645,10.69873176,10.6476419,-0.001650287,0.000926593,-0.039947342,-0.066442193,0.673690205,0.27904328,0.673690205,0.27904328,0.377777778,0.44,-0.234,-0.88,-0.642,116,36,57.247,817.16975,36
"200","2025 Final",0.333,0.372,"Late",2021,33581.64389,33121.86703,25187.30221,37935.71029,38964.497,11.20805369,9.438494336,12.47248904,10.76633767,10.66184036,-0.000720754,-0.011980578,-0.043598126,-0.057658082,0.768792711,0.46856492,0.768792711,0.46856492,-0.924444444,-0.885,-0.482,-0.88,-1.228,179,57,69.69133333,1023.359,79
"201","2025 Final",-0.121,0.41,"Late",2022,33939.69969,37778.60623,25095.03291,39642.29638,34974.03628,10.94791446,9.434618651,13.02139556,10.37509031,10.60513472,-0.00160317,-0.006488204,-0.048922311,-0.06070206,NA,NA,NA,NA,-0.802222222,-0.96,-0.924,-1.285,-1.772,135,147.6666667,42.875,505.743,138
"202","2025 Final",0.503,0.4,"Late",2023,31851.94383,30499.00284,23532.39219,39950.0268,41952.93025,10.67619618,9.390183998,16.52651974,11.58572209,10.99049071,-0.001024058,-0.008054208,-0.014051565,-0.04865081,NA,NA,NA,NA,-0.747777778,-0.29,0.76,-1.36,-1.858,152,78.66666667,NA,NA,78.66666667
"203","2025 Final",-0.0313,0.374,"Late",2024,37682.03548,40009.82349,31704.61645,38487.74326,35843.58078,11.5897033,10.9434677,16.74041678,12.11907399,10.59843787,0.005820387,-0.006387431,-0.00613578,-0.066983088,NA,NA,NA,NA,1.557777778,1.315,0.55,-0.495,-1.853333333,166,54.66666667,NA,NA,82.66666667
